,Unnamed: 0,question_id,context,question,quiz_subject_id,question_image,year,number,has_image,examining_board
2302,2302,2303,,A correção gramatical e os sentidos do texto 1A1BBB seriam mantidos caso se inserisse uma vírgula logo após,5,,2018,0,0,cespe
2303,2303,2304,,Infere-se do texto 1A1AAA que a escrita é uma,5,,2018,0,0,cespe
2304,2304,2305,,"Em cada uma das opções a seguir, é mostrada uma proposta de reescrita para o seguinte período do texto 1A1BBB: “Não há por que negar que a fala é mais antiga que a escrita e que esta lhe é posterior e, em certo sentido, dependente”. Assinale a opção em que a proposta apresentada mantém o sentido original e a correção gramatical do referido trecho.",5,,2018,0,0,cespe
2305,2305,2306,,"Com relação a aspectos linguísticos do texto 1A1AAA, assinale a opção correta.",5,,2018,0,0,cespe
2306,2306,2307,,"No texto 1A1BBB, o trecho “4.040 ações judiciais sobre assédio sexual no trabalho” (R. 6 e 7) tem a mesma função sintática de",5,,2018,0,0,cespe
2307,2307,2308,,"No texto 1A1BBB, a correção gramatical e o sentido do trecho ‘O anonimato ajuda, já que as pessoas se sentem mais protegidas para falar’ (R. 17 e 18) seriam preservados caso se substituísse o termo “já que” por",5,,2018,0,0,cespe
2308,2308,2309,,"Seriam mantidos o sentido e a correção gramatical do texto 1A1AAA, se o trecho “porque incomoda” (l.22) fosse substituído por",5,,2018,0,0,cespe
2309,2309,2310,,"Com relação às ideias do texto 1A1AAA, assinale a opção correta.",5,,2018,0,0,cespe
2310,2310,2311,,"A respeito dos aspectos estruturais e linguísticos do texto 1A1BBB, assinale a opção correta.",5,,2018,0,0,cespe
2311,2311,2312,,"No texto 1A1AAA, ao utilizar a expressão “Isso sem contar” (“Esses estímulos precisam ser processados em conjunto, de modo que o cérebro possa montar uma imagem coerente do indivíduo e de seu ambiente. Isso sem contar os processos de evocação de memórias, planejamento para o futuro e imaginação”), a autora sugere que “os processos de evocação de memórias, planejamento para o futuro e imaginação” fazem parte do conjunto de",5,,2018,0,0,cespe
2312,2312,2313,,"O texto 1A1BBB é construído sobre uma série de dicotomias conceituais, isto é, de pares de noções opostas entre si, a exemplo do formado pelos termos",5,,2018,0,0,cespe
2313,2313,2314,,"Conforme as ideias do texto 1A1BBB,",5,,2018,0,0,cespe
2314,2314,2315,,"As opções a seguir apresentam propostas de reescrita do período “Se um colega constrange o outro, em tese, não há crime, embora tal comportamento possa dar causa a reparação por dano moral.” (R. 21 a 23). Assinale a opção que apresenta proposta de reescrita que, além de manter o sentido original da informação, preserva a correção gramatical do texto.",5,,2018,0,0,cespe
2315,2315,2316,,"As opções a seguir apresentam propostas de reescrita do período “Se um colega constrange o outro, em tese, não há crime, embora tal comportamento possa dar causa a reparação por dano moral."" (R. 21 a 23). Assinale a opção que apresenta proposta de reescrita que, além de manter o sentido original da informação, preserva a correção gramatical do texto.",5,,2018,0,0,cespe
2316,2316,2317,,"No texto 1A1AAA, com o emprego da forma verbal “assumira” (l.9), exprime-se",5,,2018,0,0,cespe
2317,2317,2318,,"A pontuação empregada no texto 1A1AAA permaneceria correta se,
I no primeiro parágrafo, o segundo travessão fosse eliminado.
II na linha 1, fosse inserida vírgula logo após “2017”.
III na linha 14, fosse inserida vírgula logo após ‘1997’.
IV na linha 15, a vírgula logo após ‘persistente’ fosse eliminada.
Assinale a opção correta.",5,,2018,0,0,cespe
2318,2318,2319,,Predomina no texto 1A1AAA a tipologia,5,,2018,0,0,cespe
2319,2319,2320,,"No trecho “O que faz com que a memória se torne seletiva não é o mundo atual, informatizado, rápido e denso em informações. Ela o é por definição, já que sua porta de entrada é um funil poderoso”, o termo “o” — em “Ela o é por definição” — remete ao elemento",5,,2018,0,0,cespe
2320,2320,2321,,O efeito textual pretendido pela autora ao empregar a pergunta que encerra o segundo parágrafo do texto 1A1AAA é o de,5,,2018,0,0,cespe
2321,2321,2322,,"Sem prejuízo para a correção gramatical e para as informações veiculadas no texto 1A1AAA, poderia ser suprimida a vírgula empregada imediatamente após",5,,2018,0,0,cespe
2322,2322,2323,,"No último parágrafo do texto 1A1BBB, a autora sugere que a responsabilidade pela existência da desigualdade social é de todos os indivíduos, entre eles incluído o leitor, o que é denotado pela",5,,2018,0,0,cespe
2323,2323,2324,,"No texto 1A1AAA, as relações sintático-semânticas do período “Embora fosse temido, o apagamento era necessário, assim como o esquecimento também o é para a memória” seriam preservadas caso a conjunção “Embora” fosse substituída por",5,,2018,0,0,cespe
2324,2324,2325,,Seriam mantidos os sentidos e a correção gramatical do texto 1A1AAA caso se substituísse o trecho,5,,2018,0,0,cespe
2325,2325,2326,,"Cada uma das opções seguintes apresenta uma proposta de reescrita do seguinte trecho do texto 1A1BBB: “Quando se trata de enfrentar a desigualdade, não há saída fácil ou receita de bolo”. Assinale a opção em que a reescrita, além de manter o sentido da informação originalmente apresentada, preserva a correção gramatical.",5,,2018,0,0,cespe
2326,2326,2327,,A correção gramatical e o sentido original do texto 1A1BBB seriam preservados caso se substituísse,5,,2018,0,0,cespe
2327,2327,2328,,"No texto 1A1BBB,",5,,2018,0,0,cespe
2328,2328,2329,,Assinale a opção que apresenta trecho do texto 1A1AAA que expressa uma ideia de comparação.,5,,2018,0,0,cespe
2329,2329,2330,,"No último período do texto CG1A1AAA, o vocábulo “portanto”
(L.29) introduz uma ideia de",5,,2017,0,0,cespe
2330,2330,2331,,"Sem prejuízo da correção gramatical e do sentido original do texto
CG1A1AAA, a forma verbal “permanece” (L.10) poderia ser
corretamente substituída por",5,,2017,0,0,cespe
2331,2331,2332,,"Na linha 16 do texto CG3A 1AAA, a forma pronominal “los"",em “respeitá-los"" e “vivenciá-los"", remete a",5,,2017,0,0,cespe
2332,2332,2333,,"Sem prejuízo para a coerência e para a correção gramatical do texto CG1A1AAA, a conjunção “Quando” (l.14) poderia ser substituída por",5,,2017,0,0,cespe
2333,2333,2334,,"No segundo parágrafo do texto CG1A1CCC, o elemento “se” foi empregado em “rir-se” (l.11) para indicar",5,,2017,0,0,cespe
2334,2334,2335,,"Seriam mantidos a correção gramatical e o sentido original do texto CG1A1AAA caso a expressão “de modo que"" (l.11) fosse substituída por",5,,2017,0,0,cespe
2335,2335,2336,,"De acordo com as ideias do texto CG2A1AAA,",5,,2017,0,0,cespe
2336,2336,2337,,"Assinale a opção que apresenta termo que desempenha a mesma função sintática que “a razão” (l.17), no texto CG2A2AAA.",5,,2017,0,0,cespe
2337,2337,2338,,A correção gramatical e os sentidos do texto CG1A1AAA seriam preservados caso a expressão “quando” (l.7) fosse substituída por,5,,2017,0,0,cespe
2338,2338,2339,,"Com relação aos aspectos linguísticos do texto CG2A1BBB, assinale a opção correta.",5,,2017,0,0,cespe
2339,2339,2340,,A correção gramatical e o sentido original do texto CG2A1BBB seriam preservados caso fosse substituída por travessão a vírgula empregada imediatamente após,5,,2017,0,0,cespe
2340,2340,2341,,"Com relação aos aspectos linguísticos do texto CG2A1AAA, assinale a opção correta.",5,,2017,0,0,cespe
2341,2341,2342,,"No segundo parágrafo do texto CG1A1AAA, o pronome “lhe""(R.18) faz referência a",5,,2017,0,0,cespe
