Q6551,A correção gramatical e os sentidos do texto 1A1BBB seriam mantidos caso se inserisse uma vírgula logo após,"a) “também”, no trecho“ Há também quem caracterize a história como uma ciência da mudança no tempo”. | b) “tempo”, no trecho “Além disso, se ao longo do tempo se destacam as alterações cumulativas de fatos e ocorrências, não é difícil notar”. | c) “lista”, no trecho “Nessa lista seria possível mencionar os racismos”. | d) “processo”, no trecho “Desigualdade não é uma contingência (...) , tampouco uma decorrência natural e mutável de um processo que não nos diz respeito”. | e) “alertas”, no trecho “Prefiro apostar nos alertas que nós mesmos somos capazes de identificar”.",c,2018
Q6569,Infere-se do texto 1A1AAA que a escrita é uma,"a) forma de evitar o desaparecimento de informações importantes que não deveriam ser esquecidas ou perdidas. | b) manifestação efêmera, que podia ser registrada, depois apagada e, mais tarde, recuperada pela reescrita. | c) tecnologia ambígua, pois é capaz de, ao mesmo tempo, preservar informações úteis e contribuir para a disseminação de textos inúteis. | d) atividade que transforma escritos em arquivos, garantindo, assim, a integridade das informações frente às inconstâncias da história. | e) invenção da primeira fase da modernidade, voltada a manter vivas as memórias sociais e culturais.",a,2018
Q6574,"Em cada uma das opções a seguir, é mostrada uma proposta de reescrita para o seguinte período do texto 1A1BBB: “Não há por que negar que a fala é mais antiga que a escrita e que esta lhe é posterior e, em certo sentido, dependente”. Assinale a opção em que a proposta apresentada mantém o sentido original e a correção gramatical do referido trecho.","a) Não há por que negar que a fala será mais antiga que a escrita e que esta lhe seria posterior e, nesse sentido, dependente. | b) Não há por que negar que a fala é mais antiga do que a escrita e que a fala é posterior à ela e, em certo sentido, dependente. | c) Não há razão para negar que a fala é mais antiga que a escrita e que essa última é posterior e, em certo sentido, dependente da primeira. | d) Não tem por que negar que a fala é mais que a escrita e que esta lhe é posterior e, em sentido certo, dependente. | e) Não se pode negar de que a fala é mais antiga que a escrita e de que esta lhe é posterior e, em certo sentido, dependente.",c,2018
Q9476,"Com relação a aspectos linguísticos do texto 1A1AAA, assinale a opção correta.","a) A correção gramatical do texto seria mantida se a expressão “foram registrados"" (R.7)  fosse substituída por registrou-se. | b) O vocábulo “deles"" (R.4)  remete à expressão “dez acidentes"" (R.3) . | c) A substituição do termo “que"" (R.11)  por o qual prejudicaria a correção gramatical do texto. | d) A correção gramatical do texto seria preservada caso se substituísse a forma verbal “Foram"" (R.3)  por Houveram. | e) O sentido do segundo período do segundo parágrafo seria preservado caso as vírgulas que sucedem as palavras “desastre” (R.11)  e “novembro” (R.12)  fossem suprimidas.",b,2018
Q9483,"No texto 1A1BBB, o trecho “4.040 ações judiciais sobre assédio sexual no trabalho” (R. 6 e 7) tem a mesma função sintática de",a) “chantagem de um superior sobre um subordinado” (R. 19 e 20) . | b) “queixas de assédio” (R.15) . | c) ‘por medo de serem culpabilizadas’ (R.12) . | d) “mais e mais casos de assédio sexual ” (R. 1 e 2) . | e) ‘mais protegidas para falar’ (R. 17 e 18) .,d,2018
Q9528,"No texto 1A1BBB, a correção gramatical e o sentido do trecho ‘O anonimato ajuda, já que as pessoas se sentem mais protegidas para falar’ (R. 17 e 18) seriam preservados caso se substituísse o termo “já que” por",a) uma vez que. | b) logo que. | c) a fim de que. | d) ainda que. | e) contanto que.,a,2018
Q9673,"Com relação às ideias do texto CB2A1AAA, julgue os itens a seguir.
O texto confirma que a mídia desmonta uma lógica naturalizada segundo a qual a aplicação das leis varia em razão da vontade de uma minoria.",Errado | Certo,e,2018
Q9674,"Com relação aos sentidos e aos aspectos gramaticais do texto apresentado, julgue os itens a seguir.
A substituição de “teremos conquistado"" (R.10) por conquistaremos manteria os sentidos originais do texto.",Errado | Certo,e,2018
Q10252,"Julgue o item a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.
O vocábulo “os” (R.27) remete a “sinônimos” (R.26)",Errado | Certo,c,2018
Q10253,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue o item que se segue.
O autor emprega a expressão “De resto” (R.17) para se referir a outros homens além dos “maridos que matavam as esposas adúlteras” (R. 15 e 16) e dos “noivos que matam as ex-noivas” (R.16).",Errado | Certo,e,2018
Q10254,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue o item que se segue.
A ideia principal do último parágrafo do texto é a de que as mulheres não devem ser penalizadas em razão das decisões que tomam a respeito de seus sentimentos.",Errado | Certo,e,2018
Q10270,"Com relação às ideias e aos aspectos linguísticos do texto CB4A1AAA, julgue o item a seguir.O vocábulo “antes” (R.19) indica, no contexto em que se insere, circunstância temporal.",Errado | Certo,e,2018
Q10272,"Com relação aos sentidos e aos aspectos gramaticais do texto CB4A1BBB, julgue o item que se seguem.A forma verbal “passara” (R.5) denota um fato ocorrido antes de duas outras ações também já concluídas, as quais são descritas nos dois períodos imediatamente anteriores ao período em que ela se insere.",Errado | Certo,e,2018
Q10335,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue os itens que se seguem.
Feitos os devidos ajustes de pontuação, a retirada do trecho “Eles, não” (R.13) manteria o sentido geral do texto, porém reduziria a ênfase com a qual o autor se refere à crueldade dos “noivos assassinos” (R. 9 e 10).",Errado | Certo,c,2018
